food_name,dietary_type,meal_type,calories,protein,carbs,fats,portion_size,preparation_time,cuisine_type,ingredients,cooking_method,allergens,seasonality,difficulty_level,recipe_link
Grilled Chicken 308,Paleo,Breakfast,238,19,66,47,2 serving(s),55,Mexican,"Ingredient 6, Ingredient 14",Pan-fry,gluten,Spring,Easy,https://example.com/recipe_308
Salmon Steak 309,Keto,Snacks,290,9,16,13,2 serving(s),45,Middle Eastern,"Ingredient 10, Ingredient 20",Air-fry,dairy,Fall,Hard,https://example.com/recipe_309
Salmon Steak 310,No Restrictions,Pre-workout,196,9,16,20,3 serving(s),59,Mexican,"Ingredient 5, Ingredient 16",Grill,eggs,Winter,Hard,https://example.com/recipe_310
Pasta Primavera 311,Gluten-Free,Pre-workout,696,42,31,46,1 serving(s),29,Middle Eastern,"Ingredient 1, Ingredient 20",Air-fry,None,All Year,Hard,https://example.com/recipe_311
Chicken Wrap 312,Mediterranean,Dinner,497,14,34,22,3 serving(s),40,International,"Ingredient 5, Ingredient 20",Slow-cook,fish,Winter,Easy,https://example.com/recipe_312
Tofu Curry 313,Gluten-Free,Pre-workout,436,43,8,40,1 serving(s),25,International,"Ingredient 7, Ingredient 14",Grill,fish,Winter,Medium,https://example.com/recipe_313
Salmon Steak 314,Mediterranean,Lunch,295,25,37,11,1 serving(s),53,Middle Eastern,"Ingredient 1, Ingredient 16",Bake,soy,Winter,Hard,https://example.com/recipe_314
Pasta Primavera 315,Paleo,Dinner,608,24,30,21,2 serving(s),25,Asian,"Ingredient 10, Ingredient 16",Bake,None,All Year,Easy,https://example.com/recipe_315
Keto Egg Salad 316,Vegan,Breakfast,722,30,45,31,1 serving(s),45,Mediterranean,"Ingredient 8, Ingredient 11",Steam,fish,Fall,Medium,https://example.com/recipe_316
Tofu Curry 317,Vegetarian,Snacks,451,16,12,50,3 serving(s),47,Mexican,"Ingredient 2, Ingredient 17",Pan-fry,dairy,All Year,Hard,https://example.com/recipe_317
Tofu Curry 318,Keto,Breakfast,368,15,72,28,1 serving(s),25,Mediterranean,"Ingredient 9, Ingredient 15",Slow-cook,soy,Fall,Easy,https://example.com/recipe_318
Quinoa Bowl 319,Vegetarian,Post-workout,529,10,68,44,3 serving(s),40,Asian,"Ingredient 6, Ingredient 12",Pan-fry,None,All Year,Medium,https://example.com/recipe_319
Quinoa Bowl 320,Vegan,Dinner,766,29,19,5,1 serving(s),35,Mexican,"Ingredient 7, Ingredient 15",Boil,eggs,Spring,Easy,https://example.com/recipe_320
Keto Egg Salad 321,No Restrictions,Dinner,151,37,35,36,1 serving(s),24,International,"Ingredient 5, Ingredient 14",Slow-cook,shellfish,Summer,Easy,https://example.com/recipe_321
Grilled Chicken 322,Keto,Dinner,591,11,1,3,1 serving(s),57,Mexican,"Ingredient 5, Ingredient 16",Boil,None,Winter,Medium,https://example.com/recipe_322
Grilled Chicken 323,Gluten-Free,Dinner,355,19,43,32,2 serving(s),53,American,"Ingredient 10, Ingredient 13",Pan-fry,nuts,Fall,Easy,https://example.com/recipe_323
Oatmeal 324,Paleo,Pre-workout,148,8,74,33,1 serving(s),33,Mexican,"Ingredient 10, Ingredient 17",Boil,fish,Spring,Medium,https://example.com/recipe_324
Salmon Steak 325,Vegetarian,Breakfast,527,20,59,21,3 serving(s),55,Indian,"Ingredient 6, Ingredient 11",Air-fry,dairy,Fall,Hard,https://example.com/recipe_325
Chicken Wrap 326,Keto,Dinner,461,20,66,1,3 serving(s),49,Italian,"Ingredient 6, Ingredient 14",Steam,dairy,Winter,Medium,https://example.com/recipe_326
Tofu Curry 327,Gluten-Free,Pre-workout,539,44,83,31,3 serving(s),39,Middle Eastern,"Ingredient 5, Ingredient 14",Bake,None,All Year,Medium,https://example.com/recipe_327
Grilled Chicken 328,Paleo,Breakfast,569,5,19,7,3 serving(s),16,American,"Ingredient 5, Ingredient 11",Grill,eggs,All Year,Medium,https://example.com/recipe_328
Oatmeal 329,Gluten-Free,Post-workout,152,31,64,0,1 serving(s),26,Middle Eastern,"Ingredient 9, Ingredient 15",Steam,nuts,All Year,Easy,https://example.com/recipe_329
Salmon Steak 330,Mediterranean,Pre-workout,675,7,69,25,3 serving(s),32,Indian,"Ingredient 5, Ingredient 15",Slow-cook,soy,Spring,Medium,https://example.com/recipe_330
Chicken Wrap 331,Paleo,Dinner,597,39,43,1,3 serving(s),44,Middle Eastern,"Ingredient 8, Ingredient 17",Steam,eggs,All Year,Medium,https://example.com/recipe_331
Keto Egg Salad 332,Mediterranean,Post-workout,317,15,85,4,1 serving(s),23,Mexican,"Ingredient 3, Ingredient 19",Air-fry,None,Summer,Easy,https://example.com/recipe_332
Smoothie 333,Gluten-Free,Breakfast,147,36,88,41,2 serving(s),31,American,"Ingredient 2, Ingredient 14",Grill,dairy,Spring,Medium,https://example.com/recipe_333
Pasta Primavera 334,Vegan,Pre-workout,303,39,30,34,1 serving(s),51,International,"Ingredient 4, Ingredient 11",Bake,nuts,Fall,Easy,https://example.com/recipe_334
Oatmeal 335,Vegetarian,Breakfast,490,50,28,33,1 serving(s),39,Indian,"Ingredient 3, Ingredient 19",Steam,shellfish,Summer,Medium,https://example.com/recipe_335
Salmon Steak 336,Mediterranean,Pre-workout,529,46,8,48,1 serving(s),31,Italian,"Ingredient 8, Ingredient 15",No-Cook,soy,Fall,Medium,https://example.com/recipe_336
Smoothie 337,Vegetarian,Post-workout,373,13,41,50,2 serving(s),49,Asian,"Ingredient 8, Ingredient 16",Air-fry,gluten,Spring,Medium,https://example.com/recipe_337
Tofu Curry 338,Vegetarian,Snacks,137,16,92,44,2 serving(s),59,Indian,"Ingredient 4, Ingredient 16",No-Cook,None,All Year,Easy,https://example.com/recipe_338
Smoothie 339,Vegetarian,Breakfast,777,46,5,4,2 serving(s),21,Indian,"Ingredient 10, Ingredient 17",Pan-fry,eggs,Fall,Easy,https://example.com/recipe_339
Tofu Curry 340,Keto,Post-workout,298,10,77,31,3 serving(s),10,International,"Ingredient 9, Ingredient 19",Steam,gluten,Fall,Easy,https://example.com/recipe_340
Grilled Chicken 341,Gluten-Free,Snacks,272,42,72,16,1 serving(s),37,International,"Ingredient 6, Ingredient 15",Steam,gluten,Summer,Hard,https://example.com/recipe_341
Tofu Curry 342,No Restrictions,Lunch,708,28,85,26,1 serving(s),21,American,"Ingredient 7, Ingredient 16",Slow-cook,gluten,Fall,Easy,https://example.com/recipe_342
Vegan Stir-Fry 343,Vegan,Pre-workout,771,9,34,7,1 serving(s),15,Italian,"Ingredient 6, Ingredient 14",Bake,dairy,Summer,Hard,https://example.com/recipe_343
Vegan Stir-Fry 344,Keto,Pre-workout,215,22,19,16,3 serving(s),8,Italian,"Ingredient 9, Ingredient 13",Slow-cook,None,Winter,Hard,https://example.com/recipe_344
Quinoa Bowl 345,Gluten-Free,Pre-workout,442,13,0,25,2 serving(s),51,Mexican,"Ingredient 7, Ingredient 13",Bake,None,All Year,Hard,https://example.com/recipe_345
Grilled Chicken 346,Gluten-Free,Snacks,318,25,5,23,3 serving(s),49,Mediterranean,"Ingredient 5, Ingredient 17",Boil,dairy,All Year,Hard,https://example.com/recipe_346
Grilled Chicken 347,No Restrictions,Pre-workout,663,31,12,32,3 serving(s),15,Italian,"Ingredient 3, Ingredient 19",Bake,None,Spring,Easy,https://example.com/recipe_347
Pasta Primavera 348,No Restrictions,Breakfast,515,37,76,22,1 serving(s),58,Indian,"Ingredient 2, Ingredient 17",Pan-fry,soy,Fall,Medium,https://example.com/recipe_348
Vegan Stir-Fry 349,Keto,Post-workout,764,17,3,43,1 serving(s),7,Middle Eastern,"Ingredient 6, Ingredient 16",Bake,nuts,Spring,Hard,https://example.com/recipe_349
Vegan Stir-Fry 350,Vegetarian,Lunch,498,6,46,25,2 serving(s),51,Indian,"Ingredient 2, Ingredient 14",Grill,soy,Spring,Medium,https://example.com/recipe_350
Pasta Primavera 351,Gluten-Free,Dinner,478,8,65,42,2 serving(s),31,Asian,"Ingredient 3, Ingredient 15",Slow-cook,None,All Year,Hard,https://example.com/recipe_351
Vegan Stir-Fry 352,Vegetarian,Dinner,634,29,56,30,1 serving(s),52,Mexican,"Ingredient 3, Ingredient 17",Pan-fry,soy,Summer,Easy,https://example.com/recipe_352
Keto Egg Salad 353,Paleo,Dinner,562,12,74,12,1 serving(s),54,American,"Ingredient 2, Ingredient 20",Slow-cook,None,Winter,Easy,https://example.com/recipe_353
Chicken Wrap 354,Keto,Snacks,396,6,57,9,2 serving(s),37,Middle Eastern,"Ingredient 5, Ingredient 16",Bake,None,Summer,Medium,https://example.com/recipe_354
Vegan Stir-Fry 355,Paleo,Post-workout,628,12,5,41,1 serving(s),26,American,"Ingredient 2, Ingredient 11",Pan-fry,dairy,Spring,Easy,https://example.com/recipe_355
Pasta Primavera 356,Paleo,Lunch,799,42,70,47,3 serving(s),11,Asian,"Ingredient 8, Ingredient 11",Boil,dairy,Fall,Easy,https://example.com/recipe_356
Grilled Chicken 357,Mediterranean,Lunch,303,50,32,37,2 serving(s),12,Mediterranean,"Ingredient 5, Ingredient 13",Bake,gluten,Winter,Medium,https://example.com/recipe_357
Smoothie 358,Keto,Lunch,616,15,65,49,1 serving(s),40,International,"Ingredient 10, Ingredient 16",Air-fry,fish,Spring,Medium,https://example.com/recipe_358
Chicken Wrap 359,Vegan,Breakfast,759,36,80,26,3 serving(s),6,Indian,"Ingredient 8, Ingredient 20",Air-fry,eggs,Summer,Medium,https://example.com/recipe_359
Pasta Primavera 360,Gluten-Free,Post-workout,338,24,30,23,2 serving(s),49,Middle Eastern,"Ingredient 5, Ingredient 18",Pan-fry,fish,Spring,Medium,https://example.com/recipe_360
Tofu Curry 361,Vegan,Pre-workout,791,41,82,33,1 serving(s),13,Middle Eastern,"Ingredient 6, Ingredient 19",No-Cook,gluten,Winter,Easy,https://example.com/recipe_361
Chicken Wrap 362,Vegan,Pre-workout,533,46,92,20,3 serving(s),20,Italian,"Ingredient 9, Ingredient 20",Steam,shellfish,Winter,Medium,https://example.com/recipe_362
Tofu Curry 363,Paleo,Breakfast,322,23,9,17,3 serving(s),44,Mexican,"Ingredient 3, Ingredient 17",Boil,nuts,Fall,Easy,https://example.com/recipe_363
Grilled Chicken 364,Paleo,Pre-workout,233,35,80,33,3 serving(s),20,American,"Ingredient 2, Ingredient 16",Slow-cook,eggs,Summer,Hard,https://example.com/recipe_364
Smoothie 365,Mediterranean,Snacks,515,15,14,39,1 serving(s),50,Italian,"Ingredient 3, Ingredient 16",Steam,None,Summer,Hard,https://example.com/recipe_365
Chicken Wrap 366,Keto,Lunch,743,29,55,3,1 serving(s),47,Mexican,"Ingredient 4, Ingredient 11",Slow-cook,gluten,Fall,Medium,https://example.com/recipe_366
Grilled Chicken 367,Vegan,Breakfast,479,41,7,9,2 serving(s),17,Middle Eastern,"Ingredient 7, Ingredient 16",Steam,None,Spring,Hard,https://example.com/recipe_367
Salmon Steak 368,Keto,Breakfast,715,8,64,22,1 serving(s),24,Indian,"Ingredient 9, Ingredient 16",Air-fry,fish,Winter,Medium,https://example.com/recipe_368
Keto Egg Salad 369,Paleo,Breakfast,113,49,27,15,1 serving(s),31,Italian,"Ingredient 10, Ingredient 13",Pan-fry,fish,Winter,Easy,https://example.com/recipe_369
Vegan Stir-Fry 370,Vegetarian,Dinner,623,40,64,0,3 serving(s),30,American,"Ingredient 8, Ingredient 13",Grill,dairy,Fall,Easy,https://example.com/recipe_370
Vegan Stir-Fry 371,Keto,Breakfast,154,10,27,2,3 serving(s),54,Asian,"Ingredient 6, Ingredient 11",Grill,shellfish,Summer,Hard,https://example.com/recipe_371
Pasta Primavera 372,Mediterranean,Dinner,143,22,0,47,3 serving(s),29,Asian,"Ingredient 9, Ingredient 17",Grill,nuts,Summer,Hard,https://example.com/recipe_372
Vegan Stir-Fry 373,Vegan,Dinner,679,5,26,23,3 serving(s),22,Mediterranean,"Ingredient 6, Ingredient 17",Air-fry,nuts,Winter,Hard,https://example.com/recipe_373
Grilled Chicken 374,Mediterranean,Post-workout,145,41,86,32,3 serving(s),30,Asian,"Ingredient 7, Ingredient 15",Pan-fry,fish,All Year,Easy,https://example.com/recipe_374
Chicken Wrap 375,Mediterranean,Breakfast,666,24,22,33,2 serving(s),32,Mediterranean,"Ingredient 6, Ingredient 17",Bake,nuts,Summer,Hard,https://example.com/recipe_375
Pasta Primavera 376,Gluten-Free,Pre-workout,632,34,11,9,2 serving(s),31,American,"Ingredient 6, Ingredient 13",Slow-cook,fish,Winter,Hard,https://example.com/recipe_376
Pasta Primavera 377,Keto,Post-workout,273,11,58,23,1 serving(s),51,American,"Ingredient 10, Ingredient 11",No-Cook,shellfish,Spring,Medium,https://example.com/recipe_377
Vegan Stir-Fry 378,Paleo,Pre-workout,235,10,97,25,1 serving(s),27,Mexican,"Ingredient 1, Ingredient 13",No-Cook,dairy,Spring,Hard,https://example.com/recipe_378
Quinoa Bowl 379,Mediterranean,Snacks,776,28,0,41,3 serving(s),42,Indian,"Ingredient 3, Ingredient 18",Grill,shellfish,Winter,Easy,https://example.com/recipe_379
Salmon Steak 380,No Restrictions,Lunch,684,45,11,39,1 serving(s),44,International,"Ingredient 1, Ingredient 12",Grill,dairy,Spring,Hard,https://example.com/recipe_380
Tofu Curry 381,Keto,Breakfast,140,15,33,11,1 serving(s),45,American,"Ingredient 8, Ingredient 16",Air-fry,dairy,Summer,Medium,https://example.com/recipe_381
Oatmeal 382,No Restrictions,Breakfast,595,16,94,17,3 serving(s),5,International,"Ingredient 8, Ingredient 11",Bake,fish,All Year,Hard,https://example.com/recipe_382
Keto Egg Salad 383,Gluten-Free,Lunch,234,21,17,28,3 serving(s),25,Asian,"Ingredient 1, Ingredient 15",No-Cook,nuts,Winter,Easy,https://example.com/recipe_383
Chicken Wrap 384,Gluten-Free,Pre-workout,107,26,52,24,1 serving(s),55,Mediterranean,"Ingredient 2, Ingredient 20",Steam,fish,Spring,Medium,https://example.com/recipe_384
Quinoa Bowl 385,Keto,Snacks,319,27,27,2,2 serving(s),10,Asian,"Ingredient 10, Ingredient 18",No-Cook,gluten,Winter,Hard,https://example.com/recipe_385
Oatmeal 386,Vegan,Dinner,180,41,19,12,1 serving(s),47,Mexican,"Ingredient 10, Ingredient 16",Bake,None,All Year,Hard,https://example.com/recipe_386
Smoothie 387,Vegan,Breakfast,333,23,58,26,1 serving(s),16,Mediterranean,"Ingredient 5, Ingredient 16",Slow-cook,shellfish,Summer,Hard,https://example.com/recipe_387
Chicken Wrap 388,Paleo,Post-workout,239,41,20,27,2 serving(s),35,Italian,"Ingredient 1, Ingredient 15",Boil,dairy,Fall,Easy,https://example.com/recipe_388
Grilled Chicken 389,No Restrictions,Post-workout,536,23,62,28,2 serving(s),25,Mediterranean,"Ingredient 5, Ingredient 16",Steam,dairy,All Year,Medium,https://example.com/recipe_389
Vegan Stir-Fry 390,Vegan,Lunch,684,8,51,36,3 serving(s),25,Mexican,"Ingredient 8, Ingredient 15",Grill,shellfish,All Year,Easy,https://example.com/recipe_390
Chicken Wrap 391,Vegetarian,Dinner,565,24,47,23,3 serving(s),53,Italian,"Ingredient 10, Ingredient 16",Bake,fish,Fall,Easy,https://example.com/recipe_391
Pasta Primavera 392,No Restrictions,Pre-workout,381,6,86,17,3 serving(s),28,Indian,"Ingredient 3, Ingredient 16",Bake,soy,Spring,Hard,https://example.com/recipe_392
Grilled Chicken 393,Vegan,Dinner,284,24,50,15,1 serving(s),29,Asian,"Ingredient 1, Ingredient 11",Boil,None,Fall,Easy,https://example.com/recipe_393
Salmon Steak 394,Vegetarian,Dinner,330,14,41,13,2 serving(s),46,Asian,"Ingredient 1, Ingredient 17",No-Cook,eggs,Spring,Easy,https://example.com/recipe_394
Quinoa Bowl 395,Gluten-Free,Dinner,191,27,96,17,2 serving(s),19,Indian,"Ingredient 2, Ingredient 15",Grill,fish,Winter,Hard,https://example.com/recipe_395
Oatmeal 396,Vegan,Dinner,448,10,66,5,3 serving(s),20,Mexican,"Ingredient 7, Ingredient 14",No-Cook,fish,Summer,Easy,https://example.com/recipe_396
Chicken Wrap 397,Mediterranean,Pre-workout,207,5,19,40,2 serving(s),54,Indian,"Ingredient 3, Ingredient 16",Slow-cook,gluten,All Year,Medium,https://example.com/recipe_397
Grilled Chicken 398,Paleo,Breakfast,589,11,78,47,1 serving(s),15,Italian,"Ingredient 1, Ingredient 11",Steam,fish,Summer,Medium,https://example.com/recipe_398
Oatmeal 399,Mediterranean,Breakfast,399,24,34,45,2 serving(s),53,American,"Ingredient 7, Ingredient 18",No-Cook,None,Winter,Easy,https://example.com/recipe_399
Keto Egg Salad 400,Vegetarian,Lunch,114,25,87,44,2 serving(s),22,Mexican,"Ingredient 4, Ingredient 12",Pan-fry,dairy,Winter,Medium,https://example.com/recipe_400
Keto Egg Salad 401,Gluten-Free,Lunch,141,42,48,16,2 serving(s),47,Middle Eastern,"Ingredient 3, Ingredient 13",Steam,fish,Summer,Easy,https://example.com/recipe_401
Chicken Wrap 402,Paleo,Dinner,616,24,53,3,2 serving(s),57,Indian,"Ingredient 4, Ingredient 14",Boil,eggs,Spring,Easy,https://example.com/recipe_402
Smoothie 403,Mediterranean,Post-workout,581,10,3,11,1 serving(s),59,Middle Eastern,"Ingredient 6, Ingredient 13",Boil,gluten,Winter,Easy,https://example.com/recipe_403
Tofu Curry 404,Gluten-Free,Pre-workout,738,7,10,25,3 serving(s),58,Mexican,"Ingredient 5, Ingredient 18",Air-fry,eggs,Fall,Medium,https://example.com/recipe_404
Salmon Steak 405,Keto,Post-workout,374,27,9,14,2 serving(s),50,International,"Ingredient 9, Ingredient 17",Steam,fish,Summer,Hard,https://example.com/recipe_405
Pasta Primavera 406,Keto,Breakfast,534,23,97,24,1 serving(s),23,American,"Ingredient 9, Ingredient 17",Bake,eggs,Winter,Easy,https://example.com/recipe_406
Smoothie 407,Vegan,Dinner,363,17,5,25,1 serving(s),14,International,"Ingredient 8, Ingredient 16",No-Cook,None,Fall,Easy,https://example.com/recipe_407
Chicken Wrap 408,Keto,Snacks,573,47,26,32,2 serving(s),21,American,"Ingredient 8, Ingredient 16",Bake,gluten,Spring,Medium,https://example.com/recipe_408
Grilled Chicken 409,No Restrictions,Dinner,127,12,15,3,3 serving(s),35,Middle Eastern,"Ingredient 8, Ingredient 16",Boil,shellfish,All Year,Medium,https://example.com/recipe_409
Smoothie 410,Keto,Lunch,298,35,39,1,2 serving(s),11,Mexican,"Ingredient 10, Ingredient 19",No-Cook,soy,Fall,Hard,https://example.com/recipe_410
Salmon Steak 411,Keto,Dinner,280,16,48,38,2 serving(s),51,Asian,"Ingredient 1, Ingredient 17",Steam,gluten,Summer,Medium,https://example.com/recipe_411
Chicken Wrap 412,Keto,Dinner,641,19,41,37,3 serving(s),50,Middle Eastern,"Ingredient 4, Ingredient 17",Air-fry,dairy,Spring,Easy,https://example.com/recipe_412
Grilled Chicken 413,Mediterranean,Dinner,332,20,32,20,1 serving(s),11,Middle Eastern,"Ingredient 2, Ingredient 16",No-Cook,dairy,Winter,Easy,https://example.com/recipe_413
Chicken Wrap 414,Vegetarian,Post-workout,753,14,65,34,3 serving(s),25,American,"Ingredient 1, Ingredient 20",Bake,soy,Fall,Hard,https://example.com/recipe_414
Keto Egg Salad 415,Paleo,Lunch,651,48,61,42,3 serving(s),18,Mediterranean,"Ingredient 5, Ingredient 11",Air-fry,shellfish,Winter,Medium,https://example.com/recipe_415
Salmon Steak 416,Vegan,Snacks,179,10,44,6,2 serving(s),8,Mediterranean,"Ingredient 7, Ingredient 14",No-Cook,eggs,Winter,Medium,https://example.com/recipe_416
Oatmeal 417,Vegan,Post-workout,208,25,48,19,2 serving(s),21,Mexican,"Ingredient 2, Ingredient 19",Pan-fry,gluten,All Year,Easy,https://example.com/recipe_417
Keto Egg Salad 418,Paleo,Pre-workout,126,41,56,26,1 serving(s),22,American,"Ingredient 8, Ingredient 18",Slow-cook,shellfish,All Year,Hard,https://example.com/recipe_418
Vegan Stir-Fry 419,Vegetarian,Post-workout,115,41,27,23,1 serving(s),49,Mexican,"Ingredient 8, Ingredient 14",Steam,nuts,All Year,Hard,https://example.com/recipe_419
Oatmeal 420,Keto,Dinner,660,16,26,39,3 serving(s),60,Italian,"Ingredient 3, Ingredient 17",Bake,soy,Spring,Hard,https://example.com/recipe_420
Pasta Primavera 421,Keto,Dinner,438,11,91,47,1 serving(s),48,American,"Ingredient 10, Ingredient 12",Pan-fry,fish,Fall,Easy,https://example.com/recipe_421
Quinoa Bowl 422,Mediterranean,Breakfast,254,45,63,6,2 serving(s),9,Middle Eastern,"Ingredient 9, Ingredient 14",Grill,None,Spring,Medium,https://example.com/recipe_422
Smoothie 423,Vegan,Pre-workout,535,50,65,39,1 serving(s),9,Middle Eastern,"Ingredient 1, Ingredient 14",Grill,None,All Year,Medium,https://example.com/recipe_423
Quinoa Bowl 424,No Restrictions,Breakfast,210,15,25,9,2 serving(s),7,International,"Ingredient 10, Ingredient 20",Steam,gluten,Spring,Easy,https://example.com/recipe_424
Pasta Primavera 425,Vegetarian,Post-workout,790,47,8,5,1 serving(s),16,Mediterranean,"Ingredient 5, Ingredient 11",Steam,gluten,Spring,Hard,https://example.com/recipe_425
Salmon Steak 426,Paleo,Dinner,225,12,74,6,3 serving(s),14,Mexican,"Ingredient 10, Ingredient 13",Slow-cook,shellfish,Summer,Hard,https://example.com/recipe_426
Tofu Curry 427,Paleo,Pre-workout,580,14,0,33,3 serving(s),44,Italian,"Ingredient 9, Ingredient 19",Air-fry,dairy,Spring,Hard,https://example.com/recipe_427
Tofu Curry 428,Keto,Lunch,102,39,93,41,2 serving(s),21,Indian,"Ingredient 3, Ingredient 16",Bake,nuts,Spring,Easy,https://example.com/recipe_428
Tofu Curry 429,Paleo,Snacks,145,24,39,6,2 serving(s),7,Asian,"Ingredient 2, Ingredient 17",Slow-cook,nuts,All Year,Medium,https://example.com/recipe_429
Grilled Chicken 430,Paleo,Dinner,482,10,72,47,2 serving(s),59,Asian,"Ingredient 5, Ingredient 18",Pan-fry,gluten,Winter,Easy,https://example.com/recipe_430
Grilled Chicken 431,Paleo,Dinner,713,22,2,21,3 serving(s),30,Mediterranean,"Ingredient 8, Ingredient 16",Steam,gluten,Summer,Hard,https://example.com/recipe_431
Pasta Primavera 432,Gluten-Free,Lunch,613,31,44,11,1 serving(s),60,Mediterranean,"Ingredient 8, Ingredient 13",Air-fry,gluten,All Year,Easy,https://example.com/recipe_432
Chicken Wrap 433,Paleo,Dinner,731,28,45,16,1 serving(s),56,Middle Eastern,"Ingredient 9, Ingredient 13",Slow-cook,eggs,Spring,Hard,https://example.com/recipe_433
Vegan Stir-Fry 434,Keto,Post-workout,543,20,5,9,2 serving(s),54,Asian,"Ingredient 9, Ingredient 14",Boil,None,Summer,Medium,https://example.com/recipe_434
Oatmeal 435,Gluten-Free,Post-workout,315,29,36,14,2 serving(s),31,Asian,"Ingredient 7, Ingredient 19",Air-fry,None,Winter,Easy,https://example.com/recipe_435
Keto Egg Salad 436,Gluten-Free,Post-workout,143,36,73,1,3 serving(s),21,International,"Ingredient 6, Ingredient 13",No-Cook,fish,All Year,Hard,https://example.com/recipe_436
Vegan Stir-Fry 437,Mediterranean,Pre-workout,587,45,61,17,1 serving(s),21,Asian,"Ingredient 1, Ingredient 20",Pan-fry,gluten,All Year,Easy,https://example.com/recipe_437
Grilled Chicken 438,Keto,Post-workout,338,38,38,47,2 serving(s),48,Mediterranean,"Ingredient 4, Ingredient 18",Slow-cook,dairy,Fall,Hard,https://example.com/recipe_438
Grilled Chicken 439,Keto,Snacks,630,43,14,39,2 serving(s),18,American,"Ingredient 6, Ingredient 13",Air-fry,shellfish,All Year,Hard,https://example.com/recipe_439
Pasta Primavera 440,No Restrictions,Post-workout,295,48,67,16,2 serving(s),49,Asian,"Ingredient 9, Ingredient 16",Steam,dairy,Fall,Easy,https://example.com/recipe_440
Salmon Steak 441,Vegan,Pre-workout,725,48,3,8,1 serving(s),36,International,"Ingredient 2, Ingredient 11",Steam,nuts,Winter,Medium,https://example.com/recipe_441
Pasta Primavera 442,Vegetarian,Dinner,650,21,38,5,2 serving(s),54,Italian,"Ingredient 3, Ingredient 11",Pan-fry,fish,Summer,Hard,https://example.com/recipe_442
Tofu Curry 443,Paleo,Post-workout,476,22,30,16,1 serving(s),54,American,"Ingredient 6, Ingredient 20",No-Cook,soy,Spring,Hard,https://example.com/recipe_443
Tofu Curry 444,Vegan,Pre-workout,713,20,67,45,3 serving(s),23,Middle Eastern,"Ingredient 4, Ingredient 16",Grill,soy,All Year,Easy,https://example.com/recipe_444
Smoothie 445,Gluten-Free,Lunch,755,47,99,26,3 serving(s),8,American,"Ingredient 9, Ingredient 16",Slow-cook,fish,Summer,Medium,https://example.com/recipe_445
Keto Egg Salad 446,Gluten-Free,Breakfast,526,7,85,42,1 serving(s),52,American,"Ingredient 5, Ingredient 19",Air-fry,fish,Spring,Medium,https://example.com/recipe_446
Chicken Wrap 447,No Restrictions,Lunch,737,18,62,22,2 serving(s),52,International,"Ingredient 3, Ingredient 20",Grill,dairy,All Year,Medium,https://example.com/recipe_447
Salmon Steak 448,Mediterranean,Snacks,458,50,10,21,3 serving(s),50,Mexican,"Ingredient 9, Ingredient 13",No-Cook,dairy,Spring,Easy,https://example.com/recipe_448
Tofu Curry 449,Mediterranean,Lunch,659,33,79,16,3 serving(s),21,Asian,"Ingredient 10, Ingredient 18",Grill,None,Fall,Easy,https://example.com/recipe_449
Grilled Chicken 450,Vegan,Lunch,227,44,55,4,3 serving(s),9,Indian,"Ingredient 2, Ingredient 12",Bake,gluten,Winter,Hard,https://example.com/recipe_450
Grilled Chicken 451,Paleo,Snacks,693,13,16,45,1 serving(s),36,International,"Ingredient 8, Ingredient 17",Bake,eggs,Winter,Easy,https://example.com/recipe_451
Oatmeal 452,No Restrictions,Snacks,182,28,6,6,2 serving(s),24,Italian,"Ingredient 10, Ingredient 16",Steam,dairy,Fall,Easy,https://example.com/recipe_452
Tofu Curry 453,Mediterranean,Pre-workout,275,16,77,37,1 serving(s),44,Asian,"Ingredient 6, Ingredient 14",Pan-fry,dairy,Spring,Easy,https://example.com/recipe_453
Smoothie 454,Mediterranean,Snacks,366,40,100,9,1 serving(s),21,Mexican,"Ingredient 5, Ingredient 18",No-Cook,eggs,Winter,Hard,https://example.com/recipe_454
Smoothie 455,Gluten-Free,Snacks,253,28,88,36,2 serving(s),38,Mediterranean,"Ingredient 5, Ingredient 11",Slow-cook,dairy,All Year,Hard,https://example.com/recipe_455
Vegan Stir-Fry 456,No Restrictions,Snacks,691,37,9,50,1 serving(s),36,Italian,"Ingredient 6, Ingredient 14",Bake,soy,All Year,Easy,https://example.com/recipe_456
Vegan Stir-Fry 457,Vegetarian,Breakfast,419,34,38,41,1 serving(s),42,Mediterranean,"Ingredient 7, Ingredient 16",Boil,dairy,Summer,Hard,https://example.com/recipe_457
Vegan Stir-Fry 458,Paleo,Pre-workout,411,12,64,27,3 serving(s),27,American,"Ingredient 4, Ingredient 19",Slow-cook,None,Fall,Easy,https://example.com/recipe_458
Chicken Wrap 459,Gluten-Free,Breakfast,136,30,12,21,2 serving(s),38,American,"Ingredient 9, Ingredient 15",Bake,nuts,Winter,Easy,https://example.com/recipe_459
Keto Egg Salad 460,Vegan,Dinner,110,38,32,39,3 serving(s),37,Middle Eastern,"Ingredient 5, Ingredient 15",Boil,nuts,Spring,Hard,https://example.com/recipe_460
Smoothie 461,Paleo,Dinner,530,21,37,21,3 serving(s),30,American,"Ingredient 8, Ingredient 14",No-Cook,fish,Summer,Easy,https://example.com/recipe_461
Keto Egg Salad 462,Mediterranean,Lunch,460,20,67,34,3 serving(s),43,American,"Ingredient 1, Ingredient 17",No-Cook,fish,Winter,Medium,https://example.com/recipe_462
