Workout_Name,Duration,Intensity,Goal,Level
CrossFit,58,Low,Flexibility,Beginner
Swimming,18,Medium,Muscle Gain,Beginner
Swimming,74,High,Weight Loss,Beginner
Cardio,79,Low,Muscle Gain,Intermediate
Cardio,29,Medium,Weight Loss,Intermediate
Cardio,76,Low,General Fitness,Intermediate
Strength Training,15,Low,Endurance,Intermediate
Pilates,46,Medium,Weight Loss,Advanced
Cardio,54,Low,General Fitness,Beginner
HIIT,75,Medium,General Fitness,Beginner
Swimming,57,Medium,Flexibility,Beginner
CrossFit,63,Low,General Fitness,Intermediate
Cycling,42,Low,General Fitness,Advanced
Boxing,53,Low,General Fitness,Intermediate
Pilates,27,High,Muscle Gain,Beginner
CrossFit,66,Medium,Weight Loss,Beginner
Strength Training,41,Low,Muscle Gain,Intermediate
Pilates,70,High,General Fitness,Intermediate
CrossFit,55,Medium,Flexibility,Intermediate
Yoga,83,High,Endurance,Beginner
Strength Training,32,High,Endurance,Advanced
Cycling,58,Medium,Weight Loss,Beginner
Cardio,68,Medium,Muscle Gain,Beginner
Pilates,20,High,Endurance,Intermediate
Strength Training,29,Medium,Muscle Gain,Beginner
HIIT,61,Medium,Endurance,Intermediate
Cycling,18,Medium,Muscle Gain,Beginner
CrossFit,85,Low,Muscle Gain,Beginner
Running,18,Medium,Weight Loss,Advanced
Pilates,77,Medium,General Fitness,Beginner
Boxing,34,Medium,Flexibility,Intermediate
HIIT,86,Medium,Flexibility,Beginner
Yoga,29,Low,Muscle Gain,Advanced
Boxing,62,High,Weight Loss,Beginner
Swimming,71,Low,General Fitness,Advanced
CrossFit,63,Medium,General Fitness,Beginner
Strength Training,71,Medium,Muscle Gain,Advanced
Swimming,84,High,Endurance,Advanced
Swimming,52,Low,General Fitness,Advanced
Running,34,Low,Muscle Gain,Beginner
Running,35,High,Endurance,Intermediate
Pilates,66,Medium,Muscle Gain,Intermediate
Boxing,66,Low,General Fitness,Advanced
Running,46,Low,General Fitness,Beginner
Running,37,Low,General Fitness,Beginner
Cardio,43,Medium,General Fitness,Intermediate
Running,43,Low,Muscle Gain,Advanced
Boxing,59,High,Muscle Gain,Intermediate
Pilates,65,Medium,General Fitness,Advanced
Cycling,72,High,Muscle Gain,Beginner
Cardio,27,Low,Endurance,Advanced
Strength Training,15,High,Weight Loss,Beginner
Cycling,22,Low,Weight Loss,Intermediate
Running,78,Medium,Flexibility,Advanced
Pilates,18,Low,Flexibility,Intermediate
Strength Training,55,High,Endurance,Intermediate
Swimming,41,High,General Fitness,Advanced
HIIT,79,Medium,Flexibility,Advanced
Strength Training,45,Low,Weight Loss,Beginner
CrossFit,64,Low,General Fitness,Beginner
HIIT,30,Low,Flexibility,Intermediate
CrossFit,88,Low,Muscle Gain,Advanced
Boxing,22,Low,Weight Loss,Advanced
Strength Training,19,Medium,Flexibility,Beginner
Yoga,36,Medium,General Fitness,Beginner
Pilates,87,High,Endurance,Beginner
Pilates,74,Medium,Muscle Gain,Beginner
HIIT,22,High,General Fitness,Intermediate
Swimming,62,High,Weight Loss,Intermediate
HIIT,39,High,Endurance,Advanced
CrossFit,84,Low,Flexibility,Beginner
CrossFit,28,High,Muscle Gain,Advanced
Cycling,52,Low,Muscle Gain,Advanced
HIIT,65,High,Flexibility,Advanced
Cardio,28,High,Weight Loss,Beginner
Swimming,81,High,Weight Loss,Intermediate
Cycling,74,Low,General Fitness,Intermediate
Pilates,72,Low,Weight Loss,Intermediate
Strength Training,75,High,Weight Loss,Intermediate
Running,84,Low,Muscle Gain,Intermediate
Running,42,Low,Weight Loss,Beginner
Strength Training,53,High,Endurance,Intermediate
Strength Training,23,Medium,Endurance,Intermediate
Strength Training,74,Medium,General Fitness,Beginner
CrossFit,38,High,Muscle Gain,Beginner
Strength Training,66,Low,Weight Loss,Beginner
HIIT,24,High,Muscle Gain,Beginner
Strength Training,38,Medium,Flexibility,Advanced
Running,47,High,Muscle Gain,Advanced
Strength Training,82,Low,Weight Loss,Beginner
Swimming,84,Medium,Flexibility,Intermediate
Yoga,33,Medium,Endurance,Intermediate
Running,35,Low,Weight Loss,Advanced
Swimming,81,Low,Endurance,Beginner
Boxing,25,High,Endurance,Advanced
CrossFit,39,Low,Weight Loss,Beginner
CrossFit,36,Medium,Endurance,Beginner
Boxing,19,Low,Flexibility,Advanced
Yoga,49,High,Endurance,Advanced
Pilates,86,Medium,Muscle Gain,Intermediate
Swimming,29,Low,Muscle Gain,Advanced
Swimming,75,Low,Flexibility,Intermediate
Cycling,38,High,Weight Loss,Intermediate
Cycling,57,High,Weight Loss,Intermediate
Cycling,71,Medium,Flexibility,Beginner
CrossFit,24,High,Flexibility,Beginner
Pilates,41,Low,Weight Loss,Advanced
Running,89,High,Muscle Gain,Intermediate
Strength Training,58,Low,Muscle Gain,Intermediate
Strength Training,15,Low,General Fitness,Advanced
Cardio,20,High,Weight Loss,Advanced
CrossFit,50,High,Flexibility,Intermediate
CrossFit,32,High,Endurance,Beginner
Yoga,90,High,Endurance,Advanced
Boxing,84,Low,General Fitness,Beginner
Cycling,22,Medium,General Fitness,Beginner
Cardio,90,Medium,General Fitness,Advanced
Boxing,48,Low,Flexibility,Advanced
Yoga,41,Low,General Fitness,Beginner
Pilates,78,Low,Muscle Gain,Beginner
Cycling,65,High,Muscle Gain,Advanced
Cardio,55,Low,Flexibility,Advanced
Swimming,28,High,General Fitness,Advanced
Boxing,22,Medium,Muscle Gain,Beginner
Cycling,25,High,Weight Loss,Advanced
Cycling,47,Medium,General Fitness,Advanced
Cardio,87,Low,Flexibility,Intermediate
Swimming,71,High,Endurance,Beginner
Pilates,29,Medium,Muscle Gain,Beginner
Boxing,88,Low,Muscle Gain,Intermediate
Boxing,39,Medium,Weight Loss,Beginner
Strength Training,21,Low,Endurance,Beginner
Swimming,65,Medium,Muscle Gain,Intermediate
CrossFit,49,Low,Endurance,Beginner
Cycling,81,Low,Flexibility,Beginner
Swimming,51,Medium,General Fitness,Advanced
Running,55,Low,Endurance,Intermediate
Pilates,62,Low,Muscle Gain,Advanced
CrossFit,73,Medium,General Fitness,Beginner
Strength Training,46,High,Flexibility,Intermediate
Yoga,65,Medium,Muscle Gain,Advanced
Swimming,38,Medium,General Fitness,Advanced
Cycling,26,Medium,General Fitness,Beginner
Running,90,Low,Muscle Gain,Intermediate
Running,38,Medium,Muscle Gain,Intermediate
Swimming,16,High,Endurance,Beginner
HIIT,41,High,Flexibility,Intermediate
Running,76,Low,Flexibility,Beginner
CrossFit,16,Low,Weight Loss,Intermediate
Pilates,72,Medium,Endurance,Beginner
CrossFit,85,Low,General Fitness,Advanced
Strength Training,15,Low,General Fitness,Advanced
Pilates,20,Low,Muscle Gain,Advanced
Running,35,High,Muscle Gain,Advanced
Swimming,74,High,Flexibility,Intermediate
HIIT,72,High,Weight Loss,Beginner
Swimming,15,Low,Weight Loss,Beginner
Pilates,77,High,Muscle Gain,Beginner
CrossFit,22,Medium,Endurance,Intermediate
HIIT,55,Medium,Weight Loss,Advanced
Yoga,55,High,Flexibility,Advanced
Cycling,40,High,Flexibility,Beginner
Pilates,20,Low,Weight Loss,Beginner
Boxing,16,Medium,Muscle Gain,Beginner
Swimming,75,High,Muscle Gain,Advanced
CrossFit,52,Low,Flexibility,Advanced
Running,51,High,Weight Loss,Intermediate
Pilates,36,High,General Fitness,Advanced
Cycling,34,High,Flexibility,Beginner
Yoga,41,Low,General Fitness,Advanced
Pilates,88,Low,Weight Loss,Advanced
Cycling,16,Medium,Weight Loss,Beginner
Yoga,16,High,Weight Loss,Intermediate
Cardio,86,Medium,General Fitness,Intermediate
Boxing,45,Low,Muscle Gain,Beginner
Swimming,32,Medium,General Fitness,Intermediate
Cycling,47,Medium,Flexibility,Beginner
Pilates,67,High,Weight Loss,Intermediate
Boxing,16,Low,Endurance,Beginner
Boxing,33,Medium,Weight Loss,Intermediate
Running,25,Low,General Fitness,Intermediate
Pilates,58,High,Endurance,Advanced
HIIT,80,High,Flexibility,Beginner
Strength Training,82,Low,General Fitness,Advanced
Running,49,Medium,Muscle Gain,Intermediate
Swimming,71,Low,General Fitness,Beginner
Cardio,58,Low,Muscle Gain,Beginner
Cycling,50,Medium,Flexibility,Intermediate
Boxing,40,High,Muscle Gain,Advanced
Boxing,59,Medium,Endurance,Intermediate
HIIT,52,Medium,General Fitness,Intermediate
Strength Training,60,Medium,General Fitness,Intermediate
Cycling,20,High,Flexibility,Advanced
CrossFit,88,High,Muscle Gain,Advanced
Pilates,16,Low,Weight Loss,Advanced
Cycling,26,High,Flexibility,Beginner
CrossFit,72,High,Endurance,Intermediate
Yoga,54,Medium,Weight Loss,Intermediate
Cardio,83,Medium,Endurance,Advanced
HIIT,58,Low,Muscle Gain,Beginner
CrossFit,83,High,Muscle Gain,Intermediate
Swimming,16,Low,General Fitness,Advanced
Yoga,47,High,General Fitness,Intermediate
Strength Training,44,Low,Endurance,Advanced
Cycling,64,Medium,Flexibility,Intermediate
CrossFit,41,Low,Muscle Gain,Beginner
Yoga,26,Medium,Flexibility,Advanced
Cycling,60,High,Weight Loss,Intermediate
CrossFit,88,Medium,Flexibility,Advanced
Cardio,68,Low,General Fitness,Advanced
Running,71,High,Weight Loss,Advanced
Yoga,59,High,Flexibility,Beginner
Swimming,25,Low,Weight Loss,Intermediate
CrossFit,44,High,Flexibility,Beginner
Yoga,49,Medium,Muscle Gain,Beginner
Cardio,73,Medium,Muscle Gain,Beginner
Running,28,High,General Fitness,Advanced
Cycling,22,Low,General Fitness,Intermediate
Boxing,50,Low,Muscle Gain,Advanced
Boxing,43,Medium,Endurance,Advanced
Cardio,40,Medium,Weight Loss,Intermediate
Strength Training,87,High,Endurance,Beginner
HIIT,81,Medium,Flexibility,Intermediate
Strength Training,68,Low,Weight Loss,Advanced
Strength Training,89,Medium,Weight Loss,Advanced
Yoga,90,Medium,Weight Loss,Advanced
Cardio,71,High,Weight Loss,Beginner
HIIT,43,Low,General Fitness,Beginner
Cycling,59,Medium,Endurance,Advanced
Yoga,28,High,Weight Loss,Intermediate
Boxing,53,Low,Flexibility,Advanced
Yoga,63,High,Flexibility,Intermediate
Boxing,59,High,Endurance,Beginner
Cardio,70,High,Flexibility,Beginner
Cardio,37,Low,Muscle Gain,Beginner
Pilates,82,Medium,Flexibility,Advanced
Cardio,63,High,Muscle Gain,Advanced
Cardio,82,Medium,Muscle Gain,Advanced
Strength Training,72,Medium,Flexibility,Intermediate
Cycling,41,High,Endurance,Advanced
Strength Training,32,Medium,Endurance,Intermediate
Strength Training,48,Medium,Endurance,Beginner
Cycling,74,Low,Weight Loss,Intermediate
Yoga,55,High,Flexibility,Advanced
Strength Training,42,Medium,Flexibility,Advanced
Cycling,47,Low,General Fitness,Intermediate
Swimming,26,Low,Weight Loss,Intermediate
Cycling,58,High,General Fitness,Intermediate
Running,65,Medium,Weight Loss,Advanced
HIIT,16,Low,Endurance,Beginner
Pilates,86,Medium,Flexibility,Intermediate
Pilates,15,Low,Endurance,Advanced
Yoga,73,Medium,Flexibility,Advanced
Running,70,Medium,Muscle Gain,Beginner
HIIT,30,Low,Flexibility,Beginner
Cycling,53,Low,Weight Loss,Advanced
Boxing,37,High,General Fitness,Advanced
Strength Training,45,Low,Endurance,Beginner
Cycling,29,Low,Flexibility,Beginner
Cycling,87,High,General Fitness,Advanced
Running,25,Medium,Endurance,Beginner
Cycling,59,High,Muscle Gain,Advanced
Yoga,73,High,General Fitness,Beginner
Pilates,47,High,Muscle Gain,Intermediate
HIIT,71,High,Endurance,Intermediate
Swimming,77,Medium,Endurance,Advanced
Swimming,88,Medium,Endurance,Intermediate
Running,36,Medium,Weight Loss,Beginner
Yoga,33,Low,General Fitness,Beginner
Strength Training,18,Low,General Fitness,Beginner
Running,16,Medium,General Fitness,Intermediate
CrossFit,31,High,Endurance,Advanced
HIIT,16,Low,Muscle Gain,Advanced
Cardio,47,Medium,Weight Loss,Beginner
Pilates,28,Medium,Weight Loss,Beginner
Cardio,60,Medium,General Fitness,Beginner
Cardio,73,Low,Endurance,Advanced
Swimming,35,High,Flexibility,Beginner
HIIT,55,Low,Weight Loss,Advanced
Cycling,84,Low,Endurance,Intermediate
Yoga,20,Low,Endurance,Beginner
HIIT,46,Low,Muscle Gain,Advanced
CrossFit,74,Medium,General Fitness,Beginner
CrossFit,50,Medium,General Fitness,Advanced
Swimming,46,Medium,Flexibility,Advanced
Running,59,Medium,General Fitness,Beginner
Strength Training,86,Medium,Flexibility,Intermediate
Swimming,52,Low,Weight Loss,Intermediate
Swimming,15,Low,Flexibility,Beginner
Cycling,53,Medium,General Fitness,Beginner
Pilates,47,Low,Flexibility,Intermediate
Swimming,53,High,Weight Loss,Beginner
CrossFit,33,Medium,General Fitness,Intermediate
HIIT,62,Medium,Weight Loss,Advanced
Running,75,Medium,General Fitness,Beginner
Pilates,64,Medium,Muscle Gain,Intermediate
Swimming,37,Medium,Muscle Gain,Advanced
Pilates,56,Medium,Weight Loss,Intermediate
Cycling,48,Medium,Endurance,Beginner
HIIT,36,High,Muscle Gain,Advanced
Strength Training,25,Medium,Flexibility,Beginner
Running,35,Medium,Muscle Gain,Advanced
Pilates,64,Low,Weight Loss,Intermediate
Running,71,Low,General Fitness,Advanced
Swimming,41,High,Flexibility,Beginner
Cycling,69,Low,Muscle Gain,Advanced
Swimming,48,Medium,Weight Loss,Beginner
Cardio,71,Medium,Endurance,Intermediate
Cardio,19,Medium,Endurance,Intermediate
Swimming,86,Low,Muscle Gain,Intermediate
Cycling,75,Medium,Weight Loss,Beginner
Yoga,53,Medium,Muscle Gain,Intermediate
Cycling,20,High,Weight Loss,Advanced
Cardio,40,High,Muscle Gain,Intermediate
Strength Training,70,Low,Muscle Gain,Advanced
CrossFit,24,Medium,Weight Loss,Intermediate
Swimming,59,Low,Endurance,Intermediate
HIIT,58,Medium,Flexibility,Beginner
Strength Training,21,High,Endurance,Intermediate
Running,20,Medium,Endurance,Intermediate
CrossFit,17,Medium,Muscle Gain,Advanced
CrossFit,22,High,Endurance,Beginner
HIIT,34,High,Weight Loss,Intermediate
Strength Training,37,Low,Endurance,Beginner
Pilates,24,High,General Fitness,Intermediate
Cycling,41,Medium,General Fitness,Intermediate
Running,65,Medium,General Fitness,Intermediate
HIIT,56,Medium,Flexibility,Beginner
Cardio,65,High,Flexibility,Intermediate
Boxing,56,Low,Endurance,Beginner
Yoga,80,Low,General Fitness,Beginner
Yoga,23,High,General Fitness,Advanced
Yoga,35,Medium,Endurance,Intermediate
Running,31,High,Muscle Gain,Beginner
Running,67,Medium,Endurance,Intermediate
Running,66,High,General Fitness,Intermediate
Yoga,19,Low,General Fitness,Advanced
Running,57,Low,General Fitness,Advanced
Pilates,47,Medium,Muscle Gain,Advanced
Pilates,50,Medium,Weight Loss,Advanced
Boxing,63,Medium,Flexibility,Advanced
HIIT,17,Low,Weight Loss,Beginner
Cardio,20,Medium,General Fitness,Intermediate
Swimming,42,Low,Flexibility,Beginner
Running,72,Low,General Fitness,Advanced
Yoga,22,Medium,General Fitness,Intermediate
Pilates,42,Low,Endurance,Beginner
Swimming,29,High,Muscle Gain,Beginner
Boxing,16,Medium,Muscle Gain,Intermediate
Swimming,65,High,Endurance,Beginner
Cycling,43,Medium,Weight Loss,Advanced
Yoga,38,High,General Fitness,Intermediate
CrossFit,47,Low,Endurance,Intermediate
CrossFit,60,High,General Fitness,Intermediate
Boxing,42,Medium,General Fitness,Advanced
CrossFit,44,Medium,Muscle Gain,Advanced
Boxing,80,Low,Endurance,Beginner
CrossFit,16,Low,Endurance,Beginner
CrossFit,83,Low,General Fitness,Intermediate
Pilates,44,Low,Endurance,Intermediate
Swimming,86,Low,General Fitness,Beginner
Boxing,87,Medium,Endurance,Advanced
Running,84,Medium,Flexibility,Advanced
Strength Training,51,Medium,Endurance,Advanced
Cycling,26,Low,Endurance,Beginner
Strength Training,26,Low,Weight Loss,Beginner
HIIT,53,Low,Weight Loss,Intermediate
Swimming,31,Low,General Fitness,Beginner
Yoga,63,Medium,Endurance,Intermediate
Strength Training,49,High,Weight Loss,Advanced
Swimming,79,Low,Weight Loss,Intermediate
CrossFit,33,Low,Muscle Gain,Intermediate
CrossFit,76,Medium,Weight Loss,Intermediate
Cardio,20,High,Endurance,Intermediate
Running,84,Medium,Muscle Gain,Intermediate
Cycling,56,Medium,Flexibility,Beginner
Yoga,80,High,Muscle Gain,Beginner
HIIT,28,High,Muscle Gain,Advanced
Strength Training,45,Low,Endurance,Beginner
Cardio,52,High,General Fitness,Beginner
Boxing,88,High,Weight Loss,Advanced
Strength Training,54,Low,Weight Loss,Intermediate
Yoga,75,High,Endurance,Advanced
Swimming,54,Low,Muscle Gain,Beginner
Yoga,70,Low,General Fitness,Beginner
Pilates,82,High,General Fitness,Intermediate
Pilates,24,High,General Fitness,Intermediate
Cycling,86,High,Weight Loss,Beginner
Pilates,86,Low,Weight Loss,Beginner
HIIT,28,High,Muscle Gain,Advanced
Cycling,89,Low,Endurance,Beginner
Strength Training,24,Medium,Muscle Gain,Beginner
Pilates,46,Low,Weight Loss,Advanced
Cardio,61,Medium,Flexibility,Intermediate
HIIT,78,Medium,Endurance,Advanced
HIIT,90,Medium,Flexibility,Intermediate
CrossFit,41,High,Weight Loss,Beginner
Cardio,76,Medium,General Fitness,Beginner
Pilates,46,Medium,Muscle Gain,Intermediate
Cycling,77,Low,Muscle Gain,Beginner
Running,48,Medium,Flexibility,Intermediate
HIIT,49,Low,Weight Loss,Advanced
Cycling,75,Medium,General Fitness,Intermediate
Cardio,67,High,Flexibility,Advanced
Cardio,49,Low,Endurance,Intermediate
Yoga,61,Low,Endurance,Advanced
Running,20,Medium,Endurance,Beginner
Swimming,54,Low,Weight Loss,Advanced
Strength Training,31,Medium,Muscle Gain,Beginner
Running,59,High,Weight Loss,Advanced
CrossFit,32,High,Weight Loss,Intermediate
HIIT,24,High,General Fitness,Intermediate
Running,56,Low,Weight Loss,Advanced
Yoga,16,Medium,Flexibility,Advanced
Cycling,76,Low,Flexibility,Advanced
Cycling,69,Low,Flexibility,Advanced
CrossFit,36,Low,Endurance,Advanced
Pilates,64,High,Weight Loss,Intermediate
Strength Training,65,High,Endurance,Advanced
Strength Training,72,High,Endurance,Advanced
Cycling,26,Medium,Weight Loss,Intermediate
HIIT,60,Medium,Muscle Gain,Beginner
Cardio,68,Medium,Muscle Gain,Advanced
Yoga,82,Medium,Flexibility,Beginner
Cardio,76,Medium,Weight Loss,Beginner
Boxing,62,Medium,Endurance,Intermediate
Cardio,67,Medium,Flexibility,Beginner
Yoga,74,Low,Weight Loss,Intermediate
Cardio,72,Medium,Weight Loss,Beginner
Yoga,29,High,General Fitness,Beginner
Running,26,Low,Endurance,Intermediate
Cycling,62,Medium,Muscle Gain,Beginner
Cardio,58,High,Weight Loss,Beginner
Yoga,65,Medium,Weight Loss,Beginner
Pilates,61,Low,Flexibility,Intermediate
Swimming,63,Medium,Endurance,Advanced
Cycling,74,Low,Flexibility,Beginner
Pilates,53,Low,Endurance,Intermediate
Cycling,34,Low,Muscle Gain,Advanced
Cardio,84,Low,Endurance,Advanced
Cycling,87,High,Muscle Gain,Intermediate
Swimming,30,High,Weight Loss,Intermediate
HIIT,80,High,General Fitness,Advanced
CrossFit,85,Low,Muscle Gain,Intermediate
Yoga,80,Low,Muscle Gain,Beginner
Cycling,65,Low,General Fitness,Advanced
Strength Training,75,High,Flexibility,Advanced
CrossFit,83,Medium,Flexibility,Advanced
Yoga,62,High,Weight Loss,Intermediate
Strength Training,70,Medium,Muscle Gain,Advanced
Running,47,Medium,Endurance,Intermediate
Yoga,63,Medium,Weight Loss,Beginner
Yoga,83,Medium,Weight Loss,Beginner
Pilates,53,Low,General Fitness,Beginner
Boxing,81,Low,General Fitness,Advanced
Boxing,69,High,Endurance,Beginner
Running,32,Medium,Muscle Gain,Intermediate
Cycling,24,High,General Fitness,Intermediate
Cycling,31,High,Endurance,Beginner
Cycling,40,High,Flexibility,Intermediate
Running,54,Low,General Fitness,Advanced
Yoga,29,Medium,Flexibility,Advanced
CrossFit,48,High,Muscle Gain,Intermediate
Swimming,27,High,Flexibility,Intermediate
Swimming,59,Medium,Weight Loss,Intermediate
Yoga,17,High,Muscle Gain,Advanced
HIIT,17,High,Endurance,Intermediate
Yoga,57,Low,Muscle Gain,Intermediate
Yoga,57,Low,Weight Loss,Advanced
Running,59,Medium,General Fitness,Advanced
Cycling,69,High,General Fitness,Advanced
HIIT,77,Medium,Weight Loss,Advanced
HIIT,60,Low,Endurance,Advanced
Boxing,69,Low,Weight Loss,Intermediate
Boxing,40,High,Weight Loss,Advanced
Cycling,51,Medium,Muscle Gain,Beginner
Swimming,22,Low,Muscle Gain,Advanced
Yoga,56,Low,Endurance,Intermediate
Running,84,Medium,Endurance,Advanced
Cycling,23,Low,Weight Loss,Beginner
Cycling,47,Medium,Weight Loss,Beginner
Swimming,45,High,Weight Loss,Advanced
Swimming,56,High,Muscle Gain,Advanced
CrossFit,64,Low,Flexibility,Beginner
HIIT,56,Low,Flexibility,Advanced
Pilates,37,High,Muscle Gain,Advanced
Pilates,74,Low,Muscle Gain,Intermediate
Running,74,Medium,Weight Loss,Beginner
CrossFit,44,Medium,General Fitness,Advanced
CrossFit,86,Medium,General Fitness,Advanced
Running,18,Medium,Muscle Gain,Beginner
HIIT,86,Low,Flexibility,Advanced
Yoga,45,Medium,General Fitness,Beginner
HIIT,36,Low,Muscle Gain,Advanced
Boxing,72,High,Muscle Gain,Beginner
Cardio,43,High,General Fitness,Intermediate
CrossFit,82,Low,General Fitness,Intermediate
CrossFit,35,Low,Muscle Gain,Beginner
CrossFit,41,Low,Endurance,Intermediate
Pilates,40,Low,Flexibility,Intermediate
Boxing,54,Medium,General Fitness,Intermediate
Yoga,38,Medium,Weight Loss,Advanced
CrossFit,80,Medium,General Fitness,Intermediate
Cycling,30,Low,Flexibility,Advanced
Swimming,44,High,General Fitness,Advanced
Swimming,68,High,General Fitness,Beginner
Running,23,Medium,General Fitness,Advanced
Yoga,27,Low,Muscle Gain,Beginner
Swimming,30,Low,Flexibility,Advanced
Swimming,70,Medium,Muscle Gain,Advanced
HIIT,45,Low,General Fitness,Advanced
Yoga,19,High,Flexibility,Beginner
Running,27,Low,Muscle Gain,Beginner
HIIT,26,Low,Flexibility,Beginner
Swimming,15,Low,Weight Loss,Beginner
Running,66,Medium,Muscle Gain,Beginner
Pilates,16,Low,General Fitness,Advanced
Boxing,59,Medium,Endurance,Beginner
Pilates,86,Medium,Weight Loss,Intermediate
Cardio,40,Medium,Weight Loss,Advanced
Running,80,High,Flexibility,Advanced
Yoga,25,High,Endurance,Beginner
HIIT,27,Medium,Weight Loss,Advanced
Boxing,49,Low,Muscle Gain,Beginner
Swimming,53,Medium,Weight Loss,Intermediate
Swimming,29,High,Flexibility,Beginner
Boxing,47,High,Endurance,Intermediate
Boxing,73,Medium,General Fitness,Intermediate
Boxing,68,Medium,General Fitness,Advanced
Pilates,36,High,Muscle Gain,Beginner
Running,45,High,General Fitness,Advanced
Swimming,84,High,Flexibility,Intermediate
Swimming,39,Medium,Flexibility,Beginner
Boxing,70,High,Endurance,Intermediate
Running,67,Low,Endurance,Beginner
Pilates,47,Low,Flexibility,Beginner
Swimming,70,Medium,Weight Loss,Advanced
HIIT,22,Medium,Endurance,Intermediate
Boxing,31,Medium,Muscle Gain,Beginner
Running,58,High,Endurance,Intermediate
Cardio,74,Low,Endurance,Beginner
HIIT,60,Low,Flexibility,Beginner
Pilates,66,High,Flexibility,Beginner
Running,69,Low,Muscle Gain,Beginner
HIIT,65,Low,Weight Loss,Beginner
Cycling,63,High,Endurance,Beginner
Cardio,15,Low,General Fitness,Intermediate
Running,33,Low,Muscle Gain,Beginner
Swimming,76,Low,General Fitness,Advanced
CrossFit,79,High,Endurance,Advanced
CrossFit,45,Low,Weight Loss,Advanced
Pilates,56,Low,Weight Loss,Advanced
Running,32,Medium,Weight Loss,Beginner
HIIT,37,Medium,General Fitness,Advanced
Strength Training,51,High,Muscle Gain,Advanced
HIIT,45,Medium,Muscle Gain,Intermediate
HIIT,18,Low,Weight Loss,Advanced
Yoga,65,Low,Muscle Gain,Intermediate
Yoga,39,Medium,Endurance,Intermediate
Strength Training,49,Medium,Endurance,Advanced
Strength Training,79,High,Weight Loss,Beginner
Strength Training,44,Medium,Weight Loss,Advanced
Boxing,32,High,General Fitness,Intermediate
HIIT,83,Low,Weight Loss,Intermediate
Swimming,22,Medium,Muscle Gain,Beginner
HIIT,49,Medium,General Fitness,Beginner
Running,39,High,Muscle Gain,Beginner
Strength Training,62,Medium,Weight Loss,Advanced
Pilates,74,High,Flexibility,Advanced
Pilates,60,Low,Flexibility,Intermediate
Running,24,High,Flexibility,Beginner
Boxing,50,High,Muscle Gain,Intermediate
Pilates,71,High,Muscle Gain,Intermediate
Cycling,30,Medium,General Fitness,Advanced
Strength Training,39,High,Endurance,Advanced
Boxing,44,High,Muscle Gain,Intermediate
Pilates,34,Low,Weight Loss,Beginner
Boxing,87,Medium,Weight Loss,Advanced
Pilates,81,Low,General Fitness,Intermediate
HIIT,72,Low,Muscle Gain,Beginner
Cycling,46,Medium,Weight Loss,Beginner
Cycling,30,Medium,General Fitness,Intermediate
Cycling,63,High,Muscle Gain,Advanced
Yoga,75,Medium,Flexibility,Intermediate
HIIT,60,High,Weight Loss,Advanced
Swimming,88,Low,Flexibility,Advanced
Swimming,26,Medium,General Fitness,Advanced
Swimming,84,Low,Weight Loss,Intermediate
CrossFit,59,High,Flexibility,Advanced
HIIT,47,High,Weight Loss,Advanced
Running,21,Medium,Endurance,Advanced
Running,83,Medium,Flexibility,Intermediate
Yoga,41,Medium,Endurance,Beginner
Running,26,Medium,General Fitness,Beginner
CrossFit,50,Medium,General Fitness,Intermediate
Cardio,16,Low,Muscle Gain,Advanced
Pilates,56,Medium,Endurance,Beginner
Boxing,81,Low,General Fitness,Beginner
Yoga,40,Medium,General Fitness,Advanced
Cardio,64,Low,Endurance,Advanced
Boxing,46,High,General Fitness,Beginner
Yoga,24,High,Muscle Gain,Advanced
Strength Training,89,Low,Endurance,Advanced
Boxing,16,Low,General Fitness,Advanced
Cardio,84,Low,Endurance,Intermediate
Cycling,24,High,General Fitness,Intermediate
Swimming,15,High,Muscle Gain,Advanced
HIIT,25,Medium,Muscle Gain,Advanced
Pilates,27,Medium,General Fitness,Intermediate
Swimming,62,Low,General Fitness,Advanced
Strength Training,50,High,Muscle Gain,Intermediate
CrossFit,25,Medium,Endurance,Advanced
Boxing,56,Low,Weight Loss,Beginner
Yoga,55,Low,Weight Loss,Beginner
Yoga,67,High,Endurance,Beginner
Strength Training,32,Medium,Flexibility,Intermediate
HIIT,70,High,Endurance,Advanced
Boxing,29,Low,General Fitness,Intermediate
CrossFit,18,Medium,General Fitness,Beginner
Running,75,Low,Muscle Gain,Advanced
Boxing,49,Medium,Endurance,Advanced
Cycling,43,High,Flexibility,Advanced
CrossFit,89,High,Endurance,Beginner
Cycling,90,Medium,Flexibility,Intermediate
HIIT,81,Medium,Endurance,Intermediate
Boxing,51,Low,Flexibility,Advanced
Yoga,77,Low,Endurance,Intermediate
Cycling,72,Low,Muscle Gain,Advanced
Strength Training,21,High,Endurance,Beginner
CrossFit,31,Low,Weight Loss,Advanced
Boxing,26,Low,General Fitness,Beginner
Swimming,70,Medium,Endurance,Beginner
Cardio,73,Low,Endurance,Beginner
HIIT,61,High,Muscle Gain,Advanced
Cycling,43,Medium,Weight Loss,Beginner
Cardio,79,Low,Weight Loss,Advanced
Pilates,18,Medium,Flexibility,Beginner
Boxing,15,Medium,General Fitness,Intermediate
Cardio,54,High,Endurance,Intermediate
Cycling,17,High,Weight Loss,Advanced
HIIT,47,Low,Muscle Gain,Intermediate
